"group","alcoholism"
"Control","Yes"
"Depression","Yes"
"Depression","Yes"
"Control","Yes"
"Control","No"
"Control","Yes"
"Control","Yes"
"Control","No"
"Depression","Yes"
"Depression","No"
"Control","Yes"
"Depression","Yes"
"Depression","No"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Control","Yes"
"Depression","Yes"
"Control","Yes"
"Control","Yes"
"Depression","Yes"
"Control","Yes"
"Control","No"
"Control","No"
"Depression","No"
"Control","Yes"
"Depression","Yes"
"Control","No"
"Depression","No"
"Control","Yes"
"Control","Yes"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Depression","No"
"Control","Yes"
"Depression","No"
"Control","No"
"Depression","No"
"Depression","No"
"Control","No"
"Depression","Yes"
"Depression","Yes"
"Depression","Yes"
"Control","No"
"Depression","Yes"
"Depression","No"
"Control","No"
"Control","No"
"Control","Yes"
"Control","Yes"
"Control","No"
"Control","No"
"Depression","No"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Depression","Yes"
"Depression","No"
"Control","No"
"Depression","No"
"Depression","No"
"Depression","No"
"Depression","Yes"
"Depression","Yes"
"Control","No"
"Control","No"
"Depression","No"
"Control","No"
"Depression","No"
"Depression","No"
"Control","Yes"
"Control","No"
"Depression","No"
"Depression","No"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Depression","No"
"Depression","No"
"Control","No"
"Depression","No"
"Control","Yes"
"Depression","Yes"
"Depression","No"
"Control","Yes"
"Control","No"
"Control","No"
"Control","No"
"Depression","No"
"Depression","No"
"Control","Yes"
"Depression","No"
"Depression","No"
"Control","No"
"Control","Yes"
"Control","Yes"
"Control","No"
"Depression","No"
"Depression","No"
"Control","No"
"Depression","Yes"
"Control","No"
"Control","Yes"
"Depression","No"
"Control","No"
"Control","No"
"Depression","No"
"Control","No"
"Control","No"
"Depression","Yes"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Control","Yes"
"Depression","Yes"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Depression","Yes"
"Depression","No"
"Control","No"
"Depression","No"
"Control","No"
"Depression","Yes"
"Depression","No"
"Depression","No"
"Control","No"
"Depression","No"
"Control","No"
"Depression","No"
"Control","No"
"Depression","Yes"
"Control","Yes"
"Control","Yes"
"Depression","No"
"Control","No"
"Depression","No"
"Control","Yes"
"Control","No"
"Control","No"
"Control","No"
"Control","No"
"Depression","No"
"Control","Yes"
"Depression","Yes"
"Control","No"
"Control","No"
"Control","No"
"Depression","No"
"Control","Yes"
"Control","No"
"Depression","No"
"Control","Yes"
"Depression","Yes"
"Control","Yes"
"Control","Yes"
"Depression","No"
"Depression","No"
"Control","No"
"Depression","No"
"Depression","Yes"
"Depression","No"
"Depression","Yes"
"Depression","Yes"
"Control","No"
"Control","Yes"
"Depression","No"
"Control","No"
"Control","No"
"Depression","No"
"Control","No"
"Depression","Yes"
"Depression","Yes"
"Depression","Yes"
"Control","Yes"
"Control","No"
"Control","No"
"Depression","No"
"Control","No"
"Control","Yes"
"Depression","No"
"Control","Yes"
"Control","No"
"Depression","No"
"Depression","Yes"
"Control","No"
"Depression","No"
"Depression","No"
"Depression","Yes"
"Depression","Yes"
"Depression","No"
"Depression","No"
"Control","Yes"
"Depression","No"
"Control","No"
"Control","Yes"
"Control","No"
"Control","No"
"Control","Yes"
"Control","No"
"Control","No"
"Control","Yes"
"Control","No"
"Control","No"
"Depression","Yes"
"Control","No"
"Depression","Yes"
"Depression","No"
"Depression","Yes"
"Depression","Yes"
"Control","No"
"Control","No"
"Control","No"
"Depression","Yes"
"Control","Yes"
"Depression","Yes"
"Control","No"
"Depression","No"
"Control","Yes"
"Depression","Yes"
"Control","Yes"
"Control","No"
"Control","Yes"
"Depression","No"
"Control","No"
"Control","No"
"Control","No"
"Control","Yes"
"Control","No"
"Control","No"
"Control","Yes"
"Control","No"
"Depression","Yes"
"Control","Yes"
"Control","Yes"
"Depression","Yes"
"Control","No"
"Control","No"
"Control","Yes"
"Depression","Yes"
